key,price,remaining
129653|||1.Avantajlı Dönem - Genel Giriş Bileti,500.0,197
129653|||1.Avantajlı Dönem - Sahne Önü Bileti,750.0,200
129653|||1.Avantajlı Dönem - Sahne Önü - Çift Kişilik Bilet,1400.0,94
129653|||1.Avantajlı Dönem - Genel Giriş - Çift Kişilik Bilet,900.0,96
129663|||1. Kategori - Balkon Sağ 1. Bistro (4 Kişilik),5000.0,4
129663|||1. Kategori - Balkon Sağ 2. Bistro (4 Kişilik),5000.0,4
129663|||2. Kategori - Balkon Sağ 3. Bistro (4 Kişilik),4000.0,4
129663|||2. Kategori - Balkon Sağ 4. Bistro (4 Kişilik),4000.0,4
129663|||2. Kategori - Balkon Sağ 5. Bistro (4 Kişilik),4000.0,4
129663|||2. Kategori - Balkon Sağ 6. Bistro (4 Kişilik),4000.0,4
129663|||3. Kategori - Balkon Sağ 7. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 8. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 9. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 10. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 11. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 12. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 13. Bistro (4 Kişilik),3000.0,4
129663|||3. Kategori - Balkon Sağ 14. Bistro (4 Kişilik),3000.0,4
129675|||1. Avantajlı Dönem - 1. Kategori - Tribün Koltuk,1000.0,11
129675|||1. Avantajlı Dönem - 2. Kategori - Tribün Koltuk,750.0,15
139855|||Avantajlı Erken Dönem - Genel Giriş Bileti,199.0,3
139855|||Genel Giriş Bileti,249.0,200
139870|||B Blok-1.Kategori,1320.0,294
139870|||A Blok-2.Kategori,1045.0,90
139870|||C Blok-2.Kategori,1045.0,90
139870|||E Blok-2.Kategori,1045.0,125
139870|||E Blok-3.Kategori,990.0,310
139870|||D Blok-4.Kategori,770.0,263
139870|||F Blok-4.Kategori,770.0,265
132265|||Genel Giriş Bileti,880.0,116
132266|||Genel Giriş Bileti,880.0,89
138732|||C Blok-1. Kategori ,2170.0,94
138732|||E Blok-1. Kategori ,2170.0,95
138732|||D Blok-1. Kategori,2170.0,154
138732|||C Blok-2. Kategori,1900.0,220
138732|||E Blok-2. Kategori,1900.0,209
138732|||B Blok-3. Kategori,1625.0,155
138732|||F Blok-3. Kategori,1625.0,140
138732|||B Blok-4. Kategori,1350.0,228
138732|||F Blok-4. Kategori,1350.0,209
138732|||A Blok-5. Kategori ,1100.0,151
138732|||G Blok-5. Kategori ,1100.0,138
138732|||A Blok-6. Kategori,990.0,222
138732|||G Blok-6. Kategori,990.0,207
138823|||B Blok-Protokol,2170.0,40
138823|||B Blok-1. Kategori,1630.0,473
138823|||A Blok-1. Kategori,1630.0,120
138823|||C Blok-1. Kategori,1630.0,120
138823|||A Blok-2. Kategori,1300.0,360
138823|||A Blok-3. Kategori,1100.0,214
138823|||C Blok-2. Kategori,1300.0,361
138823|||C Blok-3. Kategori,1100.0,181
139165|||B Blok-VIP,2700.0,8
139165|||B Blok-1. Kategori,2170.0,85
139165|||A Blok-2. Kategori,1620.0,138
139165|||C Blok-2. Kategori,1620.0,162
139165|||Balkon E Blok-3. Kategori,1100.0,102
139165|||Balkon D Blok-3. Kategori,1100.0,70
118526|||Genel Giriş Bileti,880.0,120
132263|||Genel Giriş Bileti,880.0,157
138849|||A Blok-4. Kategori,990.0,45
138849|||B Blok-2. Kategori,1300.0,127
138849|||D Blok-VIP,2170.0,32
138849|||D Blok-1. Kategori,1630.0,57
138849|||E Blok-VIP,2170.0,28
138849|||E Blok-1. Kategori,1630.0,71
138849|||F Blok-VIP,2170.0,41
138849|||F Blok-1. Kategori,1630.0,61
138849|||G Blok-2. Kategori,1300.0,116
138849|||H Blok-4. Kategori,990.0,119
138849|||L Blok-3. Kategori,1100.0,84
138849|||M Blok-2. Kategori,1300.0,157
138849|||N Blok-3. Kategori,1100.0,151
140654|||C Blok-VIP ,2200.0,140
140654|||B Blok-VIP ,2200.0,135
140654|||D Blok-1. Kategori ,1650.0,34
140654|||A Blok-1. Kategori,1650.0,40
140654|||C Blok-1. Kategori,1650.0,313
140654|||B Blok-1. Kategori,1650.0,327
140654|||C Blok-2. Kategori,1320.0,100
140654|||B Blok-2. Kategori,1320.0,91
140654|||A Blok-2. Kategori,1320.0,205
140654|||D Blok-2. Kategori,1320.0,191
140654|||G Blok-2. Kategori,1320.0,154
140654|||F Blok-2. Kategori,1320.0,153
140654|||D Blok-3. Kategori,1100.0,250
140654|||A Blok-3. Kategori,1100.0,274
140654|||H Blok-3. Kategori,1100.0,46
140654|||G Blok-3. Kategori,1100.0,154
140654|||F Blok-3. Kategori,1100.0,176
140654|||E Blok-3. Kategori,1100.0,44
140654|||E Blok-4. Kategori,770.0,140
140654|||H Blok-4. Kategori,770.0,149
138304|||Protokol,2750.0,76
138304|||A Blok-4. Kategori,1100.0,92
138304|||B Blok-3. Kategori,1375.0,411
138304|||C Blok-1. Kategori,1925.0,169
138304|||C Blok-2. Kategori,1650.0,292
138304|||D Blok-1. Kategori,1925.0,151
138304|||D Blok-2. Kategori,1650.0,288
138304|||A Blok-5. Kategori,880.0,132
138304|||E Blok-1. Kategori,1925.0,160
138304|||E Blok-2. Kategori,1650.0,290
138304|||F Blok-3. Kategori,1375.0,438
138304|||G Blok-4. Kategori,1100.0,98
138304|||G Blok-5. Kategori,880.0,140
138309|||Protokol,2750.0,97
138309|||A Blok-4. Kategori,1100.0,84
138309|||B Blok-2. Kategori,1540.0,218
138309|||C Blok-1. Kategori,1870.0,192
138309|||D Blok-1. Kategori,1870.0,194
138309|||E Blok-1. Kategori,1870.0,203
138309|||F Blok-2. Kategori,1540.0,223
138309|||G Blok-4. Kategori,1100.0,88
138309|||H Blok-5. Kategori,990.0,78
138309|||K Blok-3. Kategori,1320.0,143
138309|||K Blok-4. Kategori,1100.0,170
138309|||L Blok-2. Kategori,1540.0,143
138309|||L Blok-3. Kategori,1320.0,164
138309|||M Blok-2. Kategori,1540.0,74
138309|||M Blok-3. Kategori,1320.0,86
138309|||N Blok-2. Kategori,1540.0,76
138309|||N Blok-3. Kategori,1320.0,84
138309|||P Blok-2. Kategori,1540.0,143
138309|||P Blok-3. Kategori,1320.0,168
138309|||R Blok-3. Kategori,1320.0,143
138309|||R Blok-4. Kategori,1100.0,164
138309|||S Blok-5. Kategori,990.0,77
139687|||Protokol-E Blok,3750.0,47
139687|||Protokol-F Blok,3750.0,27
139687|||1.Kategori-B Blok,2850.0,30
139687|||1.Kategori-C Blok,2850.0,71
139687|||1.Kategori-D Blok,2850.0,27
139687|||1.Kategori-F Blok,2850.0,35
139687|||2.Kategori-B Blok,2550.0,83
139687|||2.Kategori-G Blok,2550.0,97
139687|||3.Kategori-L Blok,2250.0,170
139687|||3.Kategori-P Blok,2250.0,55
139687|||4.Kategori-R Blok,1950.0,137
132483|||Protokol,4950.0,48
132483|||1.Kategori-C Blok Orta,3025.0,83
132483|||2.Kategori-C Blok Sağ,2475.0,37
132483|||2.Kategori-B Blok,2475.0,64
132483|||3.Kategori-B Blok,2200.0,150
132483|||3.Kategori-A Blok,2200.0,71
132483|||4.Kategori-A Blok,1925.0,173
132483|||4.Kategori-K Blok,1925.0,338
132483|||5.Kategori-H Blok,1650.0,335
132483|||6.Kategori-G Blok,1375.0,343
132483|||7.Kategori-F Blok,1100.0,220
132483|||8.Kategori-F Blok,880.0,95
141703|||Genel Giriş Bileti,1100.0,100
133696|||Salon - 1.Kategori,770.0,8
133696|||Salon - 2.Kategori,660.0,11
133696|||Balkon - 3.Kategori,550.0,2
133696|||Salon - 1. Kategori - Çift Kişilik Bilet,1399.0,25
133706|||Salon Bileti,770.0,71
133706|||Salon - Çift Kişilik Bilet,1349.0,6
139231|||1.Kategori-Salon,770.0,35
139231|||2.Kategori-Balkon 1,660.0,65
139231|||2.Kategori-Balkon 2,660.0,45
134076|||1. Kategori - Salon Bileti,880.0,56
134076|||2. Kategori - Salon Bileti,770.0,10
134076|||Salon - 1. Kategori - Çift Kişilik Bilet,1599.0,14
134076|||Salon - 2. Kategori - Çift Kişilik Bilet,1399.0,12
140235|||1. Kategori,880.0,117
140235|||2. Kategori,770.0,5
137277|||B Blok-1. Kategori ,4500.0,3
137277|||C Blok-1. Kategori,4500.0,0
137277|||N Blok-1. Kategori,4500.0,2
137277|||D Blok-1. Kategori,4500.0,0
137277|||B Blok-2. Kategori ,3750.0,29
137277|||M Blok-2. Kategori,3750.0,2
137277|||N Blok-2. Kategori,3750.0,2
137277|||M Blok-3. Kategori,3250.0,0
137277|||L Blok-3. Kategori,3250.0,106
137277|||L Blok-4. Kategori,2750.0,0
137277|||A Blok-5. Kategori (Kısıtlı Görüş),2250.0,0
137277|||K Blok-6. Kategori (Kısıtlı Görüş),1850.0,0
137317|||Protokol Sağ,3750.0,41
137317|||Sahne Önü Sağ-1. Kategori,2750.0,248
137317|||Saha İçi Sağ Ön-1. Kategori,2750.0,120
137317|||Saha İçi Sağ Arka-1. Kategori,2750.0,83
137317|||Saha İçi Sağ Arka-2. Kategori,2500.0,441
137317|||C Blok-3. Kategori,2250.0,572
137317|||D Blok-3. Kategori,2250.0,276
137317|||B Blok-4. Kategori,1750.0,541
137317|||A Blok-5. Kategori,1250.0,189
137317|||A Blok-6. Kategori,950.0,101
134879|||VIP,5000.0,27
134879|||Parter 4-1. Kategori,3250.0,27
134879|||Parter 5-1. Kategori,3250.0,46
134879|||Parter 1-1. Kategori,3250.0,102
134879|||Parter 2-1. Kategori,3250.0,46
134879|||Parter 4-2. Kategori,2250.0,55
134879|||Parter 5-2. Kategori,2250.0,58
134879|||Parter 1-2. Kategori,2250.0,58
134879|||Parter 4-3. Kategori,2000.0,51
134879|||Parter 5-3. Kategori,2000.0,58
134879|||Parter 4-4. Kategori,1750.0,0
134879|||Parter 4-5. Kategori,1050.0,0
124585|||A4 Blok-1. Kategori,4000.0,0
124585|||A5 Blok-1. Kategori,4000.0,1
124585|||A6 Blok-1. Kategori,4000.0,3
124585|||A7 Blok-2. Kategori,3250.0,30
124585|||B5 Blok-1. Kategori,4000.0,1
124585|||B6 Blok-1. Kategori,4000.0,4
124585|||B7 Blok-1. Kategori,4000.0,23
124585|||B8 Blok-3. Kategori,2750.0,30
124585|||C5 Blok-2. Kategori,3250.0,11
124585|||C5 Blok-3. Kategori,2750.0,0
124585|||C6 Blok-2. Kategori,3250.0,28
124585|||C6 Blok-3. Kategori,2750.0,1
124585|||C7 Blok-3. Kategori,2750.0,22
124585|||C7 Blok-4. Kategori,2250.0,1
124585|||C8 Blok-5. Kategori,1750.0,0
124585|||C8 Blok-6. Kategori,1500.0,0
124585|||Protokol,6000.0,1
124585|||A1 Blok-2. Kategori,3250.0,17
124585|||B1 Blok-3. Kategori,2750.0,4
124585|||B2 Blok-1. Kategori,4000.0,7
124585|||C2 Blok-3. Kategori,2750.0,41
124585|||C3 Blok-2. Kategori,3250.0,9
124585|||C4 Blok-2. Kategori,3250.0,3
126869|||A4 Blok-1. Kategori,4000.0,0
126869|||A5 Blok-1. Kategori,4000.0,0
126869|||A6 Blok-1. Kategori,4000.0,14
126869|||A7 Blok-2. Kategori,3250.0,66
126869|||B5 Blok-1. Kategori,4000.0,1
126869|||B6 Blok-1. Kategori,4000.0,7
126869|||B7 Blok-1. Kategori,4000.0,30
126869|||B8 Blok-3. Kategori,2750.0,19
126869|||C5 Blok-2. Kategori,3250.0,16
126869|||C5 Blok-3. Kategori,2750.0,4
126869|||C6 Blok-2. Kategori,3250.0,29
126869|||C6 Blok-3. Kategori,2750.0,7
126869|||C7 Blok-4. Kategori,2250.0,1
126869|||C8 Blok-5. Kategori,1750.0,0
126869|||C8 Blok-6. Kategori,1500.0,0
126869|||Protokol,6000.0,0
126869|||B6 Blok-2. Kategori,3250.0,0
126869|||C6 Blok-4. Kategori,2250.0,0
126869|||B2 Blok-1. Kategori,4000.0,22
126869|||B2 Blok-2. Kategori,3250.0,2
126869|||C2 Blok-3. Kategori,2750.0,35
126869|||C2 Blok-4. Kategori,2250.0,0
126869|||C4 Blok-3. Kategori,2750.0,2
137542|||Genel Giriş Bileti,550.0,77
124460|||Genel Giriş Bileti,990.0,120
124460|||Genel Giriş - Çift Kişilik Bilet,1800.0,73
124857|||Genel Giriş Bileti,500.0,117
124857|||Genel Giriş - Çift Kişilik Bilet ,899.0,166
122420|||Genel Giriş Ayakta,499.0,132
122420|||Sahne Önü Ayakta,749.0,143
122420|||Genel Giriş-Bir Alana Bir Bedava Bilet  ,499.0,0
122420|||Sahne Önü-Bir Alana Bir Bedava Bilet  ,749.0,38
140381|||Genel Giriş Bileti,600.0,290
141540|||D Blok-1. Kategori,1400.0,34
141540|||D Blok-2. Kategori,1200.0,191
141540|||D Blok-3. Kategori,1000.0,249
141540|||C Blok-VIP 1,2000.0,11
141540|||C Blok-VIP 2,1700.0,129
141540|||C Blok-1. Kategori,1400.0,313
141540|||C Blok-2. Kategori,1200.0,102
141540|||H Blok-3. Kategori,1000.0,46
